word,vector
26606,"[-0.036673158407211304,-0.05164073407649994,0.1094866693019867,0.032254647463560104,-0.05908234044909477]"
135133,"[-0.07386396825313568,-0.13807708024978638,0.048595085740089417,-0.12969963252544403,-0.0037548530381172895]"
381,"[-0.09912879765033722,-0.059864334762096405,-0.05275583639740944,0.13914819061756134,0.17667128145694733]"
58309,"[-0.071929931640625,-0.09282547235488892,0.05178214982151985,-0.11131814122200012,0.06891323626041412]"
112290,"[-0.14095883071422577,0.004811991937458515,0.2514339089393616,-0.06287001818418503,-0.1780761182308197]"
2594,"[-0.16578809916973114,0.011949801817536354,-0.03526562824845314,-0.017112120985984802,-0.06409786641597748]"
7206,"[-0.17328719794750214,-0.16398844122886658,0.15675796568393707,-0.17216192185878754,-0.044726599007844925]"
26409,"[-0.078881174325943,-0.044932130724191666,-0.05727483704686165,-0.0785190761089325,0.014608925208449364]"
141816,"[-0.2793329656124115,-0.12820251286029816,0.2865826487541199,-0.2176409363746643,-0.04656631499528885]"
455,"[-0.10676201432943344,-0.02523944526910782,-0.08216746896505356,0.3024839162826538,0.18527935445308685]"
8928,"[-0.05439818277955055,0.02189226634800434,0.09227365255355835,-0.12363994121551514,0.029009398072957993]"
87522,"[0.00016060099005699158,0.07015032321214676,0.04956018179655075,-0.05857984721660614,0.018649177625775337]"
2243,"[-0.24779973924160004,-0.04550092667341232,0.028192102909088135,-0.02102844789624214,-0.1363736093044281]"
89904,"[-0.04609930142760277,-0.09452202916145325,0.07844771444797516,-0.18977585434913635,-0.33851227164268494]"
7062,"[-0.11673932522535324,-0.08265732228755951,0.12244962900876999,-0.10803434252738953,-0.11811547726392746]"
70293,"[-0.028795283287763596,-0.11183381080627441,0.11369318515062332,-0.012328044511377811,0.013350975699722767]"
4280,"[-0.17821434140205383,-0.11849213391542435,0.19136500358581543,0.003586672944948077,0.04662289842963219]"
2739,"[-0.23980243504047394,0.006777835078537464,-0.07641788572072983,-0.0023864861577749252,0.054637134075164795]"
4813,"[-0.0882863700389862,-0.046132322400808334,0.057912006974220276,-0.1443566381931305,-0.07323887199163437]"
4211,"[-0.20271168649196625,-0.0701594278216362,0.11160740256309509,-0.16726654767990112,-0.10643912106752396]"
388,"[-0.06565374881029129,0.06735322624444962,0.001871542539447546,-0.007976891472935677,-0.06102750822901726]"
4857,"[-0.07687090337276459,-0.07433483749628067,0.054917410016059875,-0.14442265033721924,0.016454091295599937]"
64501,"[-0.034672416746616364,-0.0452558659017086,-0.026116516441106796,0.03700126335024834,-0.034199342131614685]"
5625,"[0.055583514273166656,-0.12300053983926773,0.05021802335977554,-0.02554415538907051,-0.012944814749062061]"
188189,"[0.010829382576048374,-0.11690955609083176,0.013504905626177788,-0.01148555800318718,-0.002745368517935276]"
2521,"[-0.011850949376821518,-0.07829564809799194,-0.06734943389892578,-0.03353041782975197,0.028633303940296173]"
180045,"[0.055314093828201294,-0.061576731503009796,-0.05260086804628372,-0.10634750127792358,-0.10114208608865738]"
88345,"[-0.09162764251232147,0.007225021254271269,0.004209548234939575,-0.08779793977737427,-0.142259418964386]"
5065,"[-0.026846468448638916,-0.08011522889137268,0.006595092825591564,-0.003810277907177806,-0.062007512897253036]"
7318,"[-0.18769784271717072,-0.03245871886610985,0.1312471479177475,-0.15663225948810577,-0.03384016454219818]"
114935,"[-0.04728933796286583,-0.16106216609477997,0.17510350048542023,-0.17112325131893158,-0.16036440432071686]"
5788,"[-0.15157157182693481,-0.07243987917900085,0.13479438424110413,-0.03240302577614784,0.012233476154506207]"
3728,"[-0.15577909350395203,-0.07844242453575134,0.04845874011516571,-0.09470994770526886,-0.18665006756782532]"
52458,"[0.023649897426366806,-0.04504909738898277,-0.08991198986768723,0.008962182328104973,-0.010027309879660606]"
2206,"[-0.058848749846220016,0.003064923919737339,-0.017519213259220123,-0.0014350740239024162,0.06871143728494644]"
88746,"[-0.16019895672798157,0.035916928201913834,0.07342453300952911,-0.007818952202796936,0.05842328444123268]"
2829,"[-0.036542072892189026,-0.050742704421281815,-0.08558331429958344,-0.0979098230600357,-0.058665093034505844]"
42556,"[0.0671020895242691,-0.06570024788379669,0.11407192796468735,-0.010312729515135288,-0.0611606203019619]"
7255,"[0.02075689099729061,0.08765038847923279,0.059360403567552567,-0.09218333661556244,-0.0338355153799057]"
167018,"[-0.13731172680854797,-0.02903732843697071,0.2420140951871872,-0.22684864699840546,-0.07259098440408707]"
147657,"[-0.10203337669372559,-0.09230123460292816,-0.04650777578353882,0.015722064301371574,0.006629801355302334]"
56921,"[-0.026241043582558632,-0.1101401075720787,-0.0036012716591358185,-0.1004028469324112,-0.022751009091734886]"
91784,"[-0.14061516523361206,-0.06311346590518951,0.14437149465084076,-0.011682620272040367,0.005124582909047604]"
5389,"[-0.04190340265631676,-0.05916257202625275,0.05120900273323059,-0.05249806120991707,0.0475422739982605]"
133771,"[-0.10782253742218018,-0.14699898660182953,0.021925678476691246,-0.09477990120649338,-0.07706166803836823]"
85401,"[0.03600091114640236,0.06331529468297958,0.05423708260059357,0.08151200413703918,-0.05760467052459717]"
444,"[-0.1124730333685875,0.07441321015357971,-0.029242416843771935,0.008215688169002533,0.043741218745708466]"
1401,"[-0.10693953931331635,-0.12830086052417755,0.04388967528939247,0.08425081521272659,-0.11363385617733002]"
7810,"[-0.1424596756696701,0.03459000214934349,0.15489153563976288,-0.15008771419525146,-0.05523066595196724]"
144734,"[-0.018008099868893623,-0.013230251148343086,-0.041571177542209625,-0.07669422030448914,-0.012561481446027756]"
26693,"[-0.08274906128644943,-0.022436073049902916,0.029245324432849884,0.04257413372397423,0.016195237636566162]"
193,"[-0.023671958595514297,0.06290746480226517,0.17072269320487976,0.03273876756429672,0.10085877031087875]"
3453,"[-0.0012581138871610165,0.02112242579460144,0.08974982798099518,-0.07840310782194138,0.04695180803537369]"
6950,"[0.06436711549758911,0.046017155051231384,-0.06396029889583588,-0.1018776223063469,-0.06476780772209167]"
25825,"[-0.23506227135658264,-0.1872953325510025,0.23012003302574158,-0.15740281343460083,-0.14512044191360474]"
1606,"[0.09082441031932831,-0.01879679411649704,0.05735120549798012,-0.06956617534160614,0.05196530744433403]"
2701,"[-0.08744975924491882,0.07050976157188416,-0.05305306985974312,-0.02757151611149311,-0.022089028730988503]"
5137,"[0.02811662293970585,-0.11094091832637787,0.02755459025502205,-0.10098502039909363,-0.06111794337630272]"
33830,"[-0.08163881301879883,-0.10254137217998505,0.11472592502832413,-0.08021698892116547,-0.0019364859908819199]"
5527,"[0.035515304654836655,-0.06492331624031067,0.13397814333438873,-0.045207053422927856,-0.02417193166911602]"
2346,"[-0.18658345937728882,-0.12371768057346344,0.06804998964071274,0.025818683207035065,-0.0509331040084362]"
302,"[-0.058187149465084076,-0.02638913132250309,-0.0007867806125432253,-0.037274207919836044,-0.09021882712841034]"
2820,"[0.02827821485698223,0.06859315931797028,-0.03749389946460724,0.07896720618009567,-0.03896789625287056]"
62081,"[0.001078542321920395,0.028177302330732346,-0.030618639662861824,0.06134529784321785,-0.057631880044937134]"
1474,"[-0.029122304171323776,-0.0393810048699379,-0.05089063569903374,-0.06178125739097595,0.0608900785446167]"
27416,"[0.008204661309719086,-0.03524118289351463,-0.030815444886684418,0.018011657521128654,0.11282384395599365]"
2779,"[-0.041528940200805664,-0.02562367171049118,0.015551204793155193,-0.11306585371494293,-0.08548437058925629]"
1394,"[-0.43858009576797485,0.013173808343708515,-0.30290624499320984,0.0955599769949913,-0.255903422832489]"
4802,"[-0.10274076461791992,-0.08570318669080734,0.010037683881819248,0.02091166377067566,-0.04640105739235878]"
59037,"[0.04730632156133652,0.011217443272471428,-0.0704285204410553,-0.08868435025215149,-0.041766904294490814]"
27846,"[-0.1926465630531311,-0.19967709481716156,0.034906644374132156,-0.019009465351700783,-0.18356098234653473]"
115617,"[-0.2066531926393509,-0.056965772062540054,0.1785275787115097,-0.12809084355831146,-0.3657858371734619]"
143458,"[0.03255753964185715,0.0860653668642044,-0.09509781748056412,-0.04119531065225601,-0.027941297739744186]"
26614,"[-0.06917744874954224,-0.009058394469320774,0.10132843255996704,0.06867064535617828,-0.030483663082122803]"
153,"[-0.10546712577342987,0.24203766882419586,0.42920130491256714,0.641011118888855,0.2921008765697479]"
79702,"[-0.07050229609012604,-0.10525196045637131,0.1268671751022339,-0.3373004198074341,-0.41495415568351746]"
3760,"[0.021275805309414864,-0.08958537131547928,0.0968918576836586,0.015801025554537773,0.017865195870399475]"
34542,"[-0.08547366410493851,-0.007076859008520842,0.11967160552740097,-0.06975571066141129,-0.03108174540102482]"
6793,"[0.04373689368367195,0.06924992799758911,0.061912063509225845,-0.07764963805675507,-0.08346143364906311]"
3846,"[-0.14932768046855927,-0.022156326100230217,0.04583689942955971,-0.12469793856143951,0.008875617757439613]"
51935,"[-0.1424407660961151,-0.11212889850139618,-0.1079602986574173,-0.21314720809459686,-0.18397259712219238]"
8491,"[-0.010718137957155704,-0.15227550268173218,0.11634718626737595,-0.0821017399430275,0.005372511222958565]"
40697,"[0.02390095219016075,-0.05525293946266174,0.02133656106889248,-0.08943331241607666,-0.10407619178295135]"
33310,"[-0.08812105655670166,0.043018244206905365,0.10656584054231644,-0.038105715066194534,-0.038290224969387054]"
6086,"[0.12002047896385193,-0.07170729339122772,0.08735906332731247,-0.1466977745294571,0.015483420342206955]"
7061,"[0.03450918197631836,-0.018448464572429657,0.07724270969629288,-0.11528190225362778,0.051654353737831116]"
31435,"[-0.1307469755411148,0.031536541879177094,-0.07045695185661316,0.05188637971878052,-0.0934511199593544]"
3037,"[-0.10787899792194366,-0.027621908113360405,-0.06796339899301529,-0.4285960793495178,-0.22684338688850403]"
170357,"[-0.3076649308204651,-0.07057544589042664,0.24152062833309174,-0.15043164789676666,-0.1705431342124939]"
130490,"[0.053068093955516815,0.07299300283193588,0.0650593638420105,-0.02908705361187458,0.021851645782589912]"
74228,"[-0.013307490386068821,0.059013910591602325,0.09617873281240463,0.03590868040919304,0.06767670810222626]"
335,"[0.02337544597685337,-0.015580311417579651,0.027845080941915512,0.1630554050207138,0.15872034430503845]"
31804,"[-0.05903257057070732,0.032547179609537125,0.025483783334493637,0.020685404539108276,0.006080597639083862]"
6156,"[-0.03329041972756386,-0.11482388526201248,0.207708939909935,-0.10156737267971039,0.0012465373147279024]"
27619,"[-0.09123236685991287,-0.07477883994579315,0.08585628122091293,-0.15064039826393127,-0.09955029934644699]"
2003,"[-0.09316752105951309,0.20950286090373993,-0.030397677794098854,-0.03809517249464989,0.18637630343437195]"
735,"[-0.09466595947742462,-0.10943130403757095,0.09134150296449661,-0.1476692408323288,0.10197258740663528]"
93,"[-0.04892868921160698,0.09061878174543381,-0.07385469973087311,0.08084017038345337,0.06733564287424088]"
7151,"[0.09623678028583527,0.03352034091949463,0.13114510476589203,-0.1388091742992401,0.052795346826314926]"
182823,"[-0.08286696672439575,0.0011756662279367447,0.10741366446018219,-0.1911364495754242,0.0032878946512937546]"
26236,"[-0.0772903636097908,-0.10164080560207367,0.24714875221252441,-0.0754101425409317,-0.11927914619445801]"
158,"[-0.12385828793048859,-0.012688612565398216,0.12181899696588516,0.2623250484466553,0.18833407759666443]"
56915,"[-0.1106385588645935,-0.12493222206830978,-0.03047778084874153,-0.060356128960847855,-0.1266145557165146]"
88069,"[-0.014878489077091217,-0.03817492350935936,-0.006286105141043663,-0.14241230487823486,-0.09625136107206345]"
89580,"[-0.07539599388837814,-0.0793311595916748,-0.0037671681493520737,0.04262183606624603,-0.04376804083585739]"
168846,"[-0.2906014919281006,-0.08345971256494522,0.30185866355895996,-0.29024672508239746,-0.18708980083465576]"
3990,"[-0.04682179167866707,0.06368670612573624,0.04423127695918083,0.02571840025484562,0.020141609013080597]"
3535,"[-0.1752299964427948,0.13713715970516205,0.0356375090777874,-0.41873836517333984,0.04739808663725853]"
4103,"[-0.11744595319032669,-0.06328759342432022,0.08900263160467148,-0.1393042355775833,-0.06505952775478363]"
87287,"[0.011026205494999886,-0.005897184368222952,0.08459427207708359,-0.08758608996868134,-0.08798456192016602]"
58425,"[0.0034052059054374695,-0.05480055510997772,0.11929310858249664,-0.15517762303352356,0.0032424284145236015]"
1267,"[-0.6726809740066528,-0.07783830910921097,-0.5882284045219421,0.36693236231803894,-0.20981049537658691]"
1406,"[-0.01648460328578949,-0.03474225103855133,0.04958556592464447,-0.01795407384634018,-0.061217572540044785]"
27320,"[-0.02576981484889984,0.04894445464015007,0.045694805681705475,0.03335177153348923,-0.09832478314638138]"
5614,"[0.010949226096272469,0.06478644907474518,-0.03890238329768181,0.08482155948877335,0.07169792056083679]"
134393,"[-0.18672475218772888,-0.03810678422451019,0.213486447930336,-0.15861070156097412,-0.14536911249160767]"
6244,"[-0.06410446017980576,-0.04113202914595604,0.06587772071361542,0.034817762672901154,-0.0762043222784996]"
4738,"[-0.10561477392911911,-0.016804350540041924,0.0969611406326294,-0.029513398185372353,0.015420351177453995]"
1950,"[-0.0015513524413108826,0.043633610010147095,-0.0011523491702973843,0.08757824450731277,-0.1127077266573906]"
4639,"[0.0028449990786612034,-0.08232507854700089,0.014643950387835503,-0.005621795076876879,-0.009064214304089546]"
5577,"[-0.058687835931777954,-0.2289884388446808,0.12328612059354782,-0.23803341388702393,-0.13366568088531494]"
6776,"[-0.03921709209680557,0.016979435458779335,0.1670290231704712,-0.14758220314979553,-0.08237506449222565]"
2074,"[0.011166125535964966,-0.019882865250110626,0.09290125966072083,-0.09479991346597672,-0.015239860862493515]"
3551,"[-0.14317800104618073,-0.05006859079003334,0.11735717952251434,-0.07240337878465652,0.009893905371427536]"
2905,"[0.0377056859433651,0.11980211734771729,-0.08671101927757263,-0.14369969069957733,0.0592585951089859]"
7050,"[-0.15606409311294556,-0.14068911969661713,0.10329888015985489,-0.1832076609134674,-0.00968488771468401]"
7217,"[-0.11707676947116852,-0.08836327493190765,0.012415089644491673,0.018726587295532227,-0.09118912369012833]"
98607,"[-0.07089201360940933,-0.11792309582233429,-0.029500354081392288,-0.0986662209033966,-0.01632985845208168]"
31610,"[-0.06085159629583359,-0.11885888129472733,-0.003142768517136574,-0.05010562390089035,-0.06772663444280624]"
5023,"[-0.005896422080695629,0.05823809280991554,0.10262569040060043,0.06483732908964157,-0.03687707334756851]"
37731,"[-0.09341420233249664,-0.030814029276371002,0.11563313752412796,-0.04553980752825737,-0.027766883373260498]"
4195,"[-0.013425265438854694,0.003802916035056114,0.0131410863250494,-0.053992219269275665,-0.1515604704618454]"
79139,"[0.10000988841056824,0.0035597621463239193,-0.06191035732626915,-0.0708065778017044,-0.021987566724419594]"
2807,"[0.004542061593383551,0.024061596021056175,-0.08903439342975616,-0.09120416641235352,-0.004331184551119804]"
3952,"[-0.11055560410022736,-0.02673342637717724,0.09212204068899155,0.0028501348569989204,0.0021389350295066833]"
150548,"[-0.36219894886016846,-0.17914946377277374,0.28545504808425903,-0.27261584997177124,-0.15277688205242157]"
4171,"[0.07543373107910156,-0.09094707667827606,0.008950058370828629,-0.10474264621734619,-0.06415195018053055]"
2502,"[-0.6710422039031982,0.384284108877182,-0.40482616424560547,-0.43625298142433167,-0.1313614845275879]"
3160,"[-0.12364024668931961,-0.0028311077039688826,0.17889508605003357,-0.5151566863059998,-0.11343821883201599]"
6659,"[-0.06764121353626251,-0.17313970625400543,0.17934174835681915,-0.14398285746574402,-0.23514096438884735]"
3539,"[0.09234446287155151,-0.09399902820587158,-0.08378538489341736,-0.08363991975784302,-0.022276684641838074]"
5995,"[0.06797182559967041,-0.2962336838245392,0.23443590104579926,-0.25244802236557007,-0.2563389241695404]"
3475,"[-0.06368397176265717,0.009333295747637749,-0.02210402861237526,-0.043970633298158646,0.06725779920816422]"
1792,"[-0.03348948433995247,0.060836780816316605,-0.10035021603107452,-0.04595295339822769,-0.011446740478277206]"
71466,"[0.06608915328979492,0.007661832496523857,-0.07546734064817429,-0.0714949518442154,-0.04561132937669754]"
7345,"[-0.09206145256757736,0.020872002467513084,0.03293704614043236,-0.07982856035232544,-0.001584651181474328]"
90531,"[-0.04143478348851204,0.028122467920184135,0.12250133603811264,0.032322242856025696,-0.03055647388100624]"
27879,"[-0.08747237920761108,-0.03098691813647747,0.06552306562662125,-0.09065613150596619,-0.03965485468506813]"
147,"[-0.004911297466605902,0.0734449103474617,0.14667215943336487,0.15460216999053955,0.10875290632247925]"
5288,"[-0.016730841249227524,-0.021681874990463257,0.11242887377738953,-0.06528909504413605,-0.0021976036950945854]"
3251,"[0.15028530359268188,0.05830240622162819,0.026112936437129974,-0.16339565813541412,0.07804662734270096]"
4347,"[0.03417860344052315,0.03488347679376602,-0.08587398380041122,-0.11420711874961853,0.0752725750207901]"
4717,"[-0.06294053047895432,-0.12062778323888779,0.1415305882692337,-0.015654072165489197,-0.10319677740335464]"
616,"[0.08590461313724518,-0.1568756252527237,-0.23281259834766388,0.212093785405159,0.4736250042915344]"
69524,"[-0.007460670080035925,0.10472124814987183,0.09168577194213867,-0.0864182636141777,0.01572979986667633]"
589,"[-0.32236674427986145,-0.8949500918388367,-0.5023886561393738,0.9592768549919128,1.783563256263733]"
103984,"[0.022481461986899376,-0.030414750799536705,-0.01472506020218134,-0.08018098026514053,-0.04102003201842308]"
69640,"[-0.06364215910434723,-0.04278691112995148,-0.030455300584435463,-0.05004386976361275,-0.13141277432441711]"
